0\1538\frame0006.frame,809,336,3
0\1538\frame0006.frame,601,299,0
0\1538\frame0007.frame,667,318,3
0\1538\frame0007.frame,811,523,3
0\1538\frame0007.frame,445,300,0
0\1538\frame0007.frame,338,94,0
0\1538\frame0007.frame,863,271,0
0\1538\frame0009.frame,576,313,3
0\1538\frame0009.frame,724,509,3
0\1538\frame0009.frame,864,390,0
0\1538\frame0011.frame,478,504,3
0\1538\frame0011.frame,326,322,3
0\1538\frame0011.frame,628,97,0
0\1538\frame0012.frame,279,326,3
0\1538\frame0012.frame,432,503,3
0\1538\frame0012.frame,269,95,0
0\1538\frame0013.frame,242,331,3
0\1538\frame0013.frame,376,511,3
0\1538\frame0013.frame,216,153,0
0\1538\frame0013.frame,862,216,0
0\1538\frame0013.frame,863,273,0
0\1538\frame0013.frame,580,361,0
0\1538\frame0015.frame,122,356,3
0\1538\frame0015.frame,236,514,3
0\1538\frame0015.frame,316,79,0
0\1538mov\0_421.frame,263,489,4
0\1538mov\0_421.frame,422,518,4
0\1538mov\0_421.frame,575,517,4
0\1538mov\0_421_1.frame,355,243,3
0\1538mov\0_421_1.frame,515,444,3
0\1538mov\0_421_1.frame,607,127,0
0\1538mov\0_421_1.frame,790,372,0
0\1538mov\0_422.frame,236,262,3
0\1538mov\0_422.frame,404,466,3
0\1538mov\0_422.frame,723,129,0
0\1538mov\0_425.frame,458,450,3
0\1538mov\0_425.frame,298,255,3
0\1538mov\0_425.frame,553,193,0
0\1538mov\0_426.frame,774,387,3
0\1538mov\0_426_1.frame,674,133,3
0\1538mov\0_426_1.frame,815,361,3
0\1538mov\0_426_2.frame,546,140,3
0\1538mov\0_426_2.frame,697,354,3
0\1538mov\0_545.frame,817,180,3
0\1538mov\1_425_1.frame,513,255,3
0\1538mov\1_426.frame,194,388,3
0\1538mov\1_426_1.frame,118,173,3
0\1538mov\1_426_1.frame,242,345,3
0\1538mov\1_527.frame,437,218,3
0\1538mov\1_528.frame,282,424,3
0\1538mov\1_541.frame,251,299,3
0\1538mov\1_541.frame,401,480,3
0\1538mov\1_544.frame,420,267,3
0\1538mov\1_544.frame,583,473,3
0\1538mov\1_545.frame,250,164,3
0\1538mov\1_545.frame,396,352,3
0\1538mov\1_546.frame,542,165,3
0\1538mov\1_546.frame,700,372,3
0\1538mov\2_424.frame,695,103,3
0\1538mov\2_425.frame,551,303,3
0\1538mov\2_425.frame,709,500,3
0\1538mov\2_426.frame,741,99,3
0\1538mov\2_426.frame,885,317,3
0\1538mov\2_426_3.frame,695,108,3
0\1538mov\2_426_3.frame,846,319,3
0\1538mov\2_426_3.frame,243,117,0
0\1538mov\2_426_3.frame,138,238,0
0\1538mov\2_426_3.frame,256,426,0
0\1538mov\2_426_3.frame,398,202,5
0\1538mov\2_427.frame,751,501,3
0\1538mov\2_427_2.frame,741,290,3
0\1538mov\2_427_2.frame,583,85,3
0\1538mov\2_427_2.frame,253,189,0
0\1538mov\2_427_2.frame,374,127,0
0\1538mov\2_427_3.frame,336,255,0
0\1538mov\2_427_3.frame,704,506,3
0\1538mov\2_427_3.frame,559,492,1
0\1538mov\2_545.frame,737,221,3
0\1538mov\2_545.frame,316,321,0
0\1538mov\2_545.frame,549,259,0
0\1538mov\2_545.frame,427,138,0
0\1538mov\2_546.frame,160,389,3
0\1538mov\3_425.frame,791,152,3
0\1538mov\3_425.frame,780,480,0
0\1538mov\3_425.frame,668,426,1
0\1538mov\3_426.frame,600,249,3
0\1538mov\3_426.frame,788,484,0
0\1538mov\3_426_.frame,215,279,3
0\1538mov\3_426_.frame,91,121,3
0\1538mov\3_426_.frame,841,368,0
0\1538mov\3_426_2.frame,791,522,3
0\1538mov\3_426_2.frame,666,328,3
0\1538mov\3_426_2.frame,370,174,0
0\1538mov\3_426_2.frame,573,92,0
0\1538mov\3_426_2.frame,626,150,0
0\1538mov\3_426_3.frame,169,296,3
0\1538mov\3_427.frame,444,443,3
0\1538mov\3_427.frame,255,318,0
0\1538mov\3_532.frame,807,196,3
0\1538mov\3_533.frame,670,366,3
0\1538mov\4_532.frame,235,218,3
0\1538mov\4_533.frame,99,440,3
0\1538mov\4_533.frame,490,152,0
0\1538mov\5_422.frame,879,288,3
0\d\0.frame,673,329,6
0\d\4.frame,501,468,6
0\d\4.frame,854,201,0
0\d\4.frame,298,86,0
0\d\4.frame,536,193,0
0\d\4.frame,657,292,0
0\d\4.frame,407,78,0
0\d\4.frame,122,301,0
0\d\4.frame,878,83,0
0\d\4.frame,572,88,0
0\d\4.frame,123,94,0
0\d\4.frame,111,483,0
0\d\4.frame,285,498,0
0\d\5.frame,348,236,0
0\d\5.frame,362,465,6
0\miss\0_086.frame,757,457,0
0\miss\0_168.frame,480,171,0
0\miss\0_168.frame,500,452,0
0\miss\0_350.frame,455,131,0
0\miss\0_350.frame,768,505,0
0\miss\0_426.frame,341,366,0
0\miss\0_426.frame,264,133,0
0\miss\0_426.frame,761,457,0
0\miss\0_426.frame,793,263,0
0\miss\0_427.frame,638,230,0
0\miss\0_427.frame,350,387,0
0\miss\0_427.frame,307,202,0
0\miss\0_470.frame,357,374,0
0\miss\0_470.frame,465,144,0
0\miss\0_470.frame,620,86,0
0\miss\0_470.frame,741,425,0
0\miss\0_470.frame,468,504,0
0\miss\0_489.frame,200,124,0
0\miss\0_489.frame,816,461,0
0\miss\0_489.frame,560,363,0
0\miss\0_489.frame,265,366,0
0\miss\0_547.frame,539,302,0
0\miss\0_656.frame,153,202,0
0\miss\0_656.frame,206,445,0
0\miss\0_662.frame,451,119,0
0\miss\0_662.frame,117,317,0
0\miss\0_662.frame,750,401,0
0\miss\0_750.frame,716,235,0
0\miss\0_750.frame,795,164,0
0\miss\0_750.frame,759,461,0
0\miss\0_751.frame,718,416,0
0\miss\0_774.frame,717,406,0
0\miss\0_774.frame,431,337,0
0\miss\0_798.frame,521,470,0
0\miss\0_798.frame,211,273,0
0\miss\0_798.frame,846,461,0
0\miss\0_798.frame,562,259,0
0\miss\0_798.frame,173,473,0
0\miss\0_802.frame,523,226,0
0\miss\0_802.frame,301,497,0
0\miss\0_872.frame,440,373,5
0\miss\0_885.frame,247,84,0
0\miss\0_885.frame,311,358,0
0\miss\0_885.frame,366,323,0
0\miss\0_885.frame,534,509,0
0\miss\0_886.frame,631,343,5
0\miss\0_886.frame,643,438,5
